"Photon energy (MeV)"	"Total attenuation with coherent scattering (cm2/g)"
1.00E-003	4.08E+003
1.50E-003	1.38E+003
2.00E-003	6.17E+002
3.00E-003	1.93E+002
4.00E-003	8.28E+001
5.00E-003	4.26E+001
6.00E-003	2.46E+001
8.00E-003	1.04E+001
1.00E-002	5.33E+000
1.50E-002	1.67E+000
2.00E-002	8.10E-001
3.00E-002	3.76E-001
4.00E-002	2.68E-001
5.00E-002	2.27E-001
6.00E-002	2.06E-001
8.00E-002	1.84E-001
1.00E-001	1.71E-001
1.50E-001	1.51E-001
2.00E-001	1.37E-001
3.00E-001	1.19E-001
4.00E-001	1.06E-001
5.00E-001	9.69E-002
6.00E-001	8.96E-002
8.00E-001	7.87E-002
1.00E+000	7.07E-002
1.02E+000	7.00E-002
1.25E+000	6.32E-002
1.50E+000	5.75E-002
2.00E+000	4.94E-002
2.04E+000	4.88E-002
3.00E+000	3.97E-002
4.00E+000	3.40E-002
5.00E+000	3.03E-002
6.00E+000	2.77E-002
7.00E+000	2.58E-002
8.00E+000	2.43E-002
9.00E+000	2.31E-002
1.00E+001	2.22E-002
1.10E+001	2.14E-002
1.20E+001	2.08E-002
1.30E+001	2.02E-002
1.40E+001	1.98E-002
1.50E+001	1.94E-002
1.60E+001	1.91E-002
1.80E+001	1.85E-002
2.00E+001	1.81E-002
2.20E+001	1.78E-002
2.40E+001	1.76E-002
2.60E+001	1.74E-002
2.80E+001	1.72E-002
3.00E+001	1.71E-002
4.00E+001	1.68E-002
5.00E+001	1.67E-002
6.00E+001	1.68E-002
8.00E+001	1.70E-002
1.00E+002	1.73E-002
1.50E+002	1.79E-002
2.00E+002	1.83E-002
3.00E+002	1.89E-002
4.00E+002	1.93E-002
5.00E+002	1.95E-002
6.00E+002	1.97E-002
8.00E+002	2.00E-002
1.00E+003	2.02E-002
1.50E+003	2.05E-002
2.00E+003	2.06E-002
3.00E+003	2.08E-002
4.00E+003	2.09E-002
5.00E+003	2.10E-002
6.00E+003	2.10E-002
8.00E+003	2.11E-002
1.00E+004	2.11E-002
1.50E+004	2.12E-002
2.00E+004	2.12E-002
3.00E+004	2.12E-002
4.00E+004	2.12E-002
5.00E+004	2.13E-002
6.00E+004	2.13E-002
8.00E+004	2.13E-002
1.00E+005	2.13E-002
