Min (HU)	Max (HU)	H	C	N	O	Na	Mg	P	S	Cl	Ar	K	Ca	Ti	Cu	Zn	Ag	Sn	Fe	I
-1050	-950	0	0	75.5	23.2	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0
-949	-120	10.3	10.5	3.1	74.9	0.2	0	0.2	0.3	0.3	0	0.2	0	0	0	0	0	0	0	0
-119	-82	11.6	68.1	0.2	19.8	0.1	0	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0
-81	-52	11.3	56.7	0.9	30.8	0.1	0	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0
-51	-22	11	45.8	1.5	41.1	0.1	0	0.1	0.2	0.2	0	0	0	0	0	0	0	0	0	0
-21	7	10.8	35.6	2.2	50.9	0	0	0.1	0.2	0.2	0	0	0	0	0	0	0	0	0	0
8	18	10.6	28.4	2.6	57.8	0	0	0.1	0.2	0.2	0	0.1	0	0	0	0	0	0	0	0
19	79	10.3	13.4	3	72.3	0.2	0	0.2	0.2	0.2	0	0.2	0	0	0	0	0	0	0	0
80	119	9.4	20.7	6.2	62.2	0.6	0	0	0.6	0.3	0	0	0	0	0	0	0	0	0	0
120	199	9.5	45.5	2.5	35.5	0.1	0	2.1	0.1	0.1	0	0.1	4.5	0	0	0	0	0	0	0
200	299	8.9	42.3	2.7	36.3	0.1	0	3	0.1	0.1	0	0.1	6.4	0	0	0	0	0	0	0
300	399	8.2	39.1	2.9	37.2	0.1	3.9	0.1	0.1	0.1	8.3	0	0	0	0	0	0	0	0	0
400	499	7.6	36.1	3	38	0.1	0.1	4.7	0.2	0.1	0	0	10.1	0	0	0	0	0	0	0
500	599	7.1	33.5	3.2	38.7	0.1	0.1	5.4	0.2	0	0	0	11.7	0	0	0	0	0	0	0
600	699	6.6	31	3.3	39.4	0.1	0.1	6.1	0.2	0	0	0	13.2	0	0	0	0	0	0	0
700	799	6.1	28.7	3.5	40	0.1	0.1	6.7	0.2	0	0	0	14.6	0	0	0	0	0	0	0
800	899	5.6	26.5	3.6	40.5	0.1	0.2	7.3	0.3	0	0	0	15.9	0	0	0	0	0	0	0
900	999	5.2	24.6	3.7	41.1	0.1	0.2	7.8	0.3	0	0	0	17	0	0	0	0	0	0	0
1000	1099	4.9	22.7	3.8	41.6	0.1	0.2	8.3	0.3	0	0	0	18.1	0	0	0	0	0	0	0
1100	1199	4.5	21	3.9	42	0.1	0.2	8.8	0.3	0	0	0	19.2	0	0	0	0	0	0	0
1200	1299	4.2	19.4	4	42.5	0.1	0.2	9.2	0.3	0	0	0	20.1	0	0	0	0	0	0	0
1300	1399	3.9	17.9	4.1	42.9	0.1	0.2	9.6	0.3	0	0	0	21	0	0	0	0	0	0	0
1400	1499	3.6	16.5	4.2	43.2	0.1	0.2	10	0.3	0	0	0	21.9	0	0	0	0	0	0	0
1500	1639	3.4	15.5	4.2	43.5	0.1	0.2	10.3	0.3	0	0	0	22.5	0	0	0	0	0	0	0
1640	2299	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	65	29	0	0
2300	2999	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
