Name	Symbol	Atomic number (Z)	Molar mass (in g/mole)	Density (in g/cm3)	State
Hydrogen	H	1	1.0079	8.988E-05	Gas
Helium	He 	2	4.0026	0.0001785	Unknown
Lithium	Li 	3	6.941	0.534	Unknown
Beryllium	Be 	4	9.0122	1.85	Unknown
Boron	B	5	10.811	2.34	Unknown
Carbon	C	6	12.0107	2.267	Unknown
Nitrogen	N	7	14.0067	0.0012506	Unknown
Oxygen	O	8	15.9994	0.001429	Gas
Fluorine	F	9	18.9984	0.001696	Unknown
Neon	Ne 	10	20.1797	0.0008999	Unknown
Sodium	Na 	11	22.9897	0.971	Unknown
Magnesium	Mg 	12	24.305	1.738	Unknown
Aluminium	Al 	13	26.9815	2.698	solid
Silicon	Si 	14	28.0855	2.3296	solid
Phosphor	P	15	30.9738	1.82	Unknown
Sulfur	S	16	32.065	2.067	Unknown
Chlorine	Cl 	17	35.453	0.003214	Unknown
Argon	Ar 	18	39.948	0.0017837	Unknown
Potassium	K	19	39.0983	0.862	Unknown
Calcium	Ca 	20	40.078	1.54	Unknown
Scandium	Sc 	21	44.9559	2.989	Unknown
Titanium	Ti 	22	47.867	4.54	Unknown
Vandium	V	23	50.9415	6.11	Unknown
Chromium	Cr 	24	51.9961	7.15	Unknown
Manganese	Mn 	25	54.938	7.44	Unknown
Iron	Fe 	26	55.845	7.874	Unknown
Cobalt	Co 	27	58.9332	8.86	Unknown
Nickel	Ni 	28	58.6934	8.912	Unknown
Copper	Cu 	29	63.546	8.96	Unknown
Zinc	Zn 	30	65.39	7.134	Unknown
Gallium	Ga 	31	69.723	5.907	Unknown
Germanium	Ge 	32	72.64	5.323	Unknown
Arsenic 	As	33	74.9216	5.776	Unknown
Selenium 	Se	34	78.96	4.809	Unknown
Bromine 	Br	35	79.904	3.122	Unknown
Krypton 	Kr	36	83.8	0.003733	Unknown
Rubidium 	Rb	37	85.4678	1.532	Unknown
Strontium 	Sr	38	87.62	2.64	Unknown
Yttrium	Y	39	88.9059	4.469	Unknown
Zirconium 	Zr	40	91.224	6.506	Unknown
Niobium 	Nb	41	92.9064	8.57	Unknown
Molybdenum 	Mo	42	95.94	10.22	Unknown
Technetium 	Tc	43	98	11.5	Unknown
Ruthenium 	Ru	44	101.07	12.37	Unknown
Rhodium 	Rh	45	102.9055	12.41	Unknown
Palladium 	Pd	46	106.42	12.02	Unknown
Silver	Ag 	47	107.8682	10.501	Unknown
Cadmium	Cd 	48	112.411	8.69	Unknown
Indium 	In	49	114.818	7.31	Unknown
Tin	Sn 	50	118.71	7.287	Unknown
Antimony 	Sb	51	121.76	6.685	Unknown
Tellurium	Te 	52	127.6	6.232	Unknown
Iodine	I	53	126.9045	4.93	Unknown
Xenon 	Xe	54	131.293	0.005887	Unknown
Cesium	Cs 	55	132.9055	1.873	Unknown
Barium 	Ba	56	137.327	3.594	Unknown
Lanthanum 	La	57	138.9055	6.145	Unknown
Cerium 	Ce	58	140.116	6.77	Unknown
Praseodymium 	Pr	59	140.9077	6.773	Unknown
Neodymium 	Nd	60	144.24	7.007	Unknown
Promethium 	Pm	61	145	7.26	Unknown
Samarium 	Sm	62	150.36	7.52	Unknown
Europium 	Eu	63	151.964	5.243	Unknown
Gadolinium	Gd 	64	157.25	7.895	Unknown
Terbium 	Tb	65	158.9253	8.229	Unknown
Dysprosium 	Dy	66	162.5	8.55	Unknown
Holmium 	Ho	67	164.9303	8.795	Unknown
Erbium 	Er	68	167.259	9.066	Unknown
Thulium 	Tm	69	168.9342	9.321	Unknown
Ytterbium 	Yb	70	173.04	6.965	Unknown
Lutetium	Lu 	71	174.967	9.84	Unknown
Hafnium 	Hf	72	178.49	13.31	Unknown
Tantalum 	Ta	73	180.9479	16.654	Unknown
Tungsten	W	74	183.84	19.25	solid
Rhenium 	Re	75	186.207	21.02	Unknown
Osmium 	Os	76	190.23	22.61	Unknown
Iridium 	Ir	77	192.217	22.56	Unknown
Platinum 	Pt	78	195.078	21.46	Unknown
Gold	Au 	79	196.9665	19.282	Unknown
Mercury 	Hg	80	200.59	13.5336	Unknown
Thallium	Tl 	81	204.3833	11.85	Unknown
Lead	Pb 	82	207.2	11.342	solid
Bismuth	Bi 	83	208.9804	9.807	Unknown
Polonium 	Po	84	209	9.32	Unknown
Astatine 	At	85	210	7	Unknown
Radon 	Rn	86	222	0.00973	Unknown
Francium 	Fr	87	223	1.87	Unknown
Radium 	Ra	88	226	5.5	Unknown
Actinium 	Ac	89	227	10.07	Unknown
Thorium 	Th	90	232.0381	11.72	Unknown
Protactinium 	Pa	91	231.0359	15.37	Unknown
Uranium	U	92	238.0289	18.95	solid
Neptunium 	Np	93	237	20.45	Unknown
Plutonium 	Pu	94	244	19.84	Unknown
Americium 	Am	95	243	13.69	Unknown
Curium 	Cm	96	247	13.51	Unknown
Berkelium 	Bk	97	247	14.79	Unknown
Californium 	Cf	98	251	15.1	Unknown
Einsteinium 	Es	99	252	8.84	Unknown
Fermium 	Fm	100	257	9.7	Unknown
